target_id,queue_priority,queue_type,queue_reason,candidate_family,positive_family,is_positive,ml_rank,ml_probability,heuristic_rank,heuristic_score,recommended_action
adminer_CVE-2021-21311,,,,adminer,adminer,True,1,0.9992218301631581,1,7.000000000000001,validate_expected_family
adminer_CVE-2021-21311,,,,elasticsearch,adminer,False,2,0.9432735530387112,2,3.8000000000000003,compare_as_negative_or_confuser
adminer_CVE-2021-21311,,,,thinkphp,adminer,False,3,0.1934499800542551,14,1.1,compare_as_negative_or_confuser
adminer_CVE-2021-21311,,,,tomcat,adminer,False,4,0.1934499800542551,15,1.1,compare_as_negative_or_confuser
adminer_CVE-2021-21311,,,,appweb,adminer,False,5,0.19344998005425507,3,1.1,compare_as_negative_or_confuser
apache_druid_CVE-2021-25646,,,,druid,druid,True,1,0.9992187283502824,1,7.000000000000001,validate_expected_family
apache_druid_CVE-2021-25646,,,,jetty,druid,False,2,0.9446353902921342,2,3.8000000000000003,compare_as_negative_or_confuser
apache_druid_CVE-2021-25646,,,,aria2,druid,False,3,0.06888406096413809,26,0.0,compare_as_negative_or_confuser
apache_druid_CVE-2021-25646,,,,redis,druid,False,4,0.06888406096413809,27,0.0,compare_as_negative_or_confuser
apache_druid_CVE-2021-25646,,,,thinkphp,druid,False,5,0.03854786463516958,23,0.4,compare_as_negative_or_confuser
appweb_CVE-2018-8715,,,,goahead,appweb,False,1,0.4884121223894545,1,2.2133333333333334,compare_as_negative_or_confuser
appweb_CVE-2018-8715,,,,adminer,appweb,False,2,0.11032557816195995,2,1.08,compare_as_negative_or_confuser
appweb_CVE-2018-8715,,,,appweb,appweb,True,3,0.11032557816195995,3,1.08,validate_expected_family
appweb_CVE-2018-8715,,,,drupal,appweb,False,4,0.11032557816195995,4,1.08,compare_as_negative_or_confuser
appweb_CVE-2018-8715,,,,jenkins,appweb,False,5,0.11032557816195995,5,1.08,compare_as_negative_or_confuser
aria2_rce,6,positive_control,non-http RPC fingerprint ชัด ใช้เป็น positive control,aria2,aria2,True,1,0.9997981414325752,1,6.7,validate_expected_family
aria2_rce,6,positive_control,non-http RPC fingerprint ชัด ใช้เป็น positive control,redis,aria2,False,2,0.3114901143843577,2,0.6,compare_as_negative_or_confuser
aria2_rce,6,positive_control,non-http RPC fingerprint ชัด ใช้เป็น positive control,thinkphp,aria2,False,3,0.06430876923605,25,0.1,compare_as_negative_or_confuser
aria2_rce,6,positive_control,non-http RPC fingerprint ชัด ใช้เป็น positive control,tomcat,aria2,False,4,0.06430876923605,26,0.1,compare_as_negative_or_confuser
