lab_id,product,cve,candidate_exploit_family,known_exploit_family,rank,rank_score,is_recommended,is_known_family,exposed_port_count,has_http_port_hint,image_count,compose_service_count,product_text,image_text,port_text,label_source
1panel-cve-2024-39907,1panel,CVE-2024-39907,sqli,sqli,1,0.96,1,1,1,0,1,1,1panel,vulhub/1panel:1.10.10,10086:10086/tcp,vulhub_directory_metadata_heuristic
1panel-cve-2024-39907,1panel,CVE-2024-39907,auth-bypass,sqli,2,0.78,1,0,1,0,1,1,1panel,vulhub/1panel:1.10.10,10086:10086/tcp,vulhub_directory_metadata_heuristic
1panel-cve-2024-39907,1panel,CVE-2024-39907,sensitive-data-exposure,sqli,3,0.6,0,0,1,0,1,1,1panel,vulhub/1panel:1.10.10,10086:10086/tcp,vulhub_directory_metadata_heuristic
1panel-cve-2024-39907,1panel,CVE-2024-39907,xss,sqli,4,0.42,0,0,1,0,1,1,1panel,vulhub/1panel:1.10.10,10086:10086/tcp,vulhub_directory_metadata_heuristic
activemq-cve-2015-5254,activemq,CVE-2015-5254,deserialization,deserialization,1,0.96,1,1,2,0,1,0,activemq,vulhub/activemq:5.11.1,61616:61616/tcp | 8161:8161/tcp,vulhub_directory_metadata_heuristic
activemq-cve-2015-5254,activemq,CVE-2015-5254,command-injection,deserialization,2,0.78,1,0,2,0,1,0,activemq,vulhub/activemq:5.11.1,61616:61616/tcp | 8161:8161/tcp,vulhub_directory_metadata_heuristic
activemq-cve-2015-5254,activemq,CVE-2015-5254,auth-bypass,deserialization,3,0.6,0,0,2,0,1,0,activemq,vulhub/activemq:5.11.1,61616:61616/tcp | 8161:8161/tcp,vulhub_directory_metadata_heuristic
activemq-cve-2015-5254,activemq,CVE-2015-5254,file-inclusion,deserialization,4,0.42,0,0,2,0,1,0,activemq,vulhub/activemq:5.11.1,61616:61616/tcp | 8161:8161/tcp,vulhub_directory_metadata_heuristic
activemq-cve-2016-3088,activemq,CVE-2016-3088,file-upload,file-upload,1,0.96,1,1,2,0,1,0,activemq,vulhub/activemq:5.11.1-with-cron,61616:61616/tcp | 8161:8161/tcp,vulhub_directory_metadata_heuristic
activemq-cve-2016-3088,activemq,CVE-2016-3088,command-injection,file-upload,2,0.78,1,0,2,0,1,0,activemq,vulhub/activemq:5.11.1-with-cron,61616:61616/tcp | 8161:8161/tcp,vulhub_directory_metadata_heuristic
activemq-cve-2016-3088,activemq,CVE-2016-3088,xss,file-upload,3,0.6,0,0,2,0,1,0,activemq,vulhub/activemq:5.11.1-with-cron,61616:61616/tcp | 8161:8161/tcp,vulhub_directory_metadata_heuristic
activemq-cve-2016-3088,activemq,CVE-2016-3088,auth-bypass,file-upload,4,0.42,0,0,2,0,1,0,activemq,vulhub/activemq:5.11.1-with-cron,61616:61616/tcp | 8161:8161/tcp,vulhub_directory_metadata_heuristic
activemq-cve-2023-46604,activemq,CVE-2023-46604,deserialization,deserialization,1,0.96,1,1,3,0,1,0,activemq,vulhub/activemq:5.17.3,61616:61616/tcp | 8161:8161/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
activemq-cve-2023-46604,activemq,CVE-2023-46604,command-injection,deserialization,2,0.78,1,0,3,0,1,0,activemq,vulhub/activemq:5.17.3,61616:61616/tcp | 8161:8161/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
activemq-cve-2023-46604,activemq,CVE-2023-46604,auth-bypass,deserialization,3,0.6,0,0,3,0,1,0,activemq,vulhub/activemq:5.17.3,61616:61616/tcp | 8161:8161/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
activemq-cve-2023-46604,activemq,CVE-2023-46604,file-inclusion,deserialization,4,0.42,0,0,3,0,1,0,activemq,vulhub/activemq:5.17.3,61616:61616/tcp | 8161:8161/tcp | 5005:5005/tcp,vulhub_directory_metadata_heuristic
adminer-cve-2021-21311,adminer,CVE-2021-21311,sqli,sqli,1,0.96,1,1,1,1,1,0,adminer,vulhub/adminer:4.7.8,8080:80/tcp,vulhub_directory_metadata_heuristic
adminer-cve-2021-21311,adminer,CVE-2021-21311,auth-bypass,sqli,2,0.78,1,0,1,1,1,0,adminer,vulhub/adminer:4.7.8,8080:80/tcp,vulhub_directory_metadata_heuristic
adminer-cve-2021-21311,adminer,CVE-2021-21311,sensitive-data-exposure,sqli,3,0.6,0,0,1,1,1,0,adminer,vulhub/adminer:4.7.8,8080:80/tcp,vulhub_directory_metadata_heuristic
